bpmag-Gmag,bpmag-rpmag,bpmag-Jmag,bpmag-Hmag,bpmag-Kmag,bpmag-W1mag,bpmag-W2mag,Gmag-rpmag,Gmag-Jmag,Gmag-Hmag,Gmag-Kmag,Gmag-W1mag,Gmag-W2mag,rpmag-Jmag,rpmag-Hmag,rpmag-Kmag,rpmag-W1mag,rpmag-W2mag,Jmag-Hmag,Jmag-Kmag,Jmag-W1mag,Jmag-W2mag,Hmag-Kmag,Hmag-W1mag,Hmag-W2mag,Kmag-W1mag,Kmag-W2mag,W1mag-W2mag,class
0.0220,0.0096,0.0250,0.0110,0.0190,0.1090,0.1010,-0.0124,0.0030,-0.0110,-0.0030,0.0870,0.0790,0.0154,0.0014,0.0094,0.0994,0.0914,-0.0140,-0.0060,0.0840,0.0760,0.0080,0.0980,0.0900,0.0900,0.0820,-0.0080,B
-0.0569,-0.1762,-0.2456,-0.2636,-0.2026,-0.4176,-0.4496,-0.1193,-0.1887,-0.2067,-0.1457,-0.3607,-0.3927,-0.0694,-0.0874,-0.0264,-0.2414,-0.2734,-0.0180,0.0430,-0.1720,-0.2040,0.0610,-0.1540,-0.1860,-0.2150,-0.2470,-0.0320,B
0.3403,0.8790,1.5580,1.7200,1.8200,2.1360,2.2050,0.5387,1.2177,1.3797,1.4797,1.7957,1.8647,0.6790,0.8410,0.9410,1.2570,1.3260,0.1620,0.2620,0.5780,0.6470,0.1000,0.4160,0.4850,0.3160,0.3850,0.0690,B
0.5065,1.2120,2.0817,2.3877,2.7287,3.1987,3.5187,0.7055,1.5752,1.8812,2.2222,2.6922,3.0122,0.8697,1.1757,1.5167,1.9867,2.3067,0.3060,0.6470,1.1170,1.4370,0.3410,0.8110,1.1310,0.4700,0.7900,0.3200,B
0.3587,0.8736,1.5786,1.8046,2.0676,2.5416,2.9066,0.5149,1.2199,1.4459,1.7089,2.1829,2.5479,0.7050,0.9310,1.1940,1.6680,2.0330,0.2260,0.4890,0.9630,1.3280,0.2630,0.7370,1.1020,0.4740,0.8390,0.3650,B
0.3502,0.9096,1.6675,1.8795,2.2575,2.5825,2.8535,0.5594,1.3173,1.5293,1.9073,2.2323,2.5033,0.7579,0.9699,1.3479,1.6729,1.9439,0.2120,0.5900,0.9150,1.1860,0.3780,0.7030,0.9740,0.3250,0.5960,0.2710,B
-0.0761,0.0183,0.0912,0.4322,0.4972,0.8962,1.1702,0.0944,0.1673,0.5083,0.5733,0.9723,1.2463,0.0729,0.4139,0.4789,0.8779,1.1519,0.3410,0.4060,0.8050,1.0790,0.0650,0.4640,0.7380,0.3990,0.6730,0.2740,B
0.2766,0.7136,1.2917,1.3867,1.4417,1.6767,1.7507,0.4370,1.0151,1.1101,1.1651,1.4001,1.4741,0.5781,0.6731,0.7281,0.9631,1.0371,0.0950,0.1500,0.3850,0.4590,0.0550,0.2900,0.3640,0.2350,0.3090,0.0740,B
0.1434,0.3916,0.6883,0.7433,0.8303,0.9283,1.0263,0.2482,0.5449,0.5999,0.6869,0.7849,0.8829,0.2967,0.3517,0.4387,0.5367,0.6347,0.0550,0.1420,0.2400,0.3380,0.0870,0.1850,0.2830,0.0980,0.1960,0.0980,B
-0.0066,-0.0229,-0.0183,-0.0363,0.0037,-0.0213,0.0367,-0.0163,-0.0117,-0.0297,0.0103,-0.0147,0.0433,0.0046,-0.0134,0.0266,0.0016,0.0596,-0.0180,0.0220,-0.0030,0.0550,0.0400,0.0150,0.0730,-0.0250,0.0330,0.0580,B
-0.0417,-0.1663,-0.2955,-0.3465,-0.3915,-0.3485,-0.3455,-0.1246,-0.2538,-0.3048,-0.3498,-0.3068,-0.3038,-0.1292,-0.1802,-0.2252,-0.1822,-0.1792,-0.0510,-0.0960,-0.0530,-0.0500,-0.0450,-0.0020,0.0010,0.0430,0.0460,0.0030,B
